name,time,download,ping,upload
speedtest,1649398825616594000,4548007.621376401,33.854,13201283.85278342
speedtest,1649400304116249000,9417439.374282954,15.825,13835530.818805506
speedtest,1649403991456910000,7056518.154263245,45.917,8715650.029236976
speedtest,1649403995915511000,6339555.551274279,68.109,6980439.05179696
speedtest,1649403999531601000,3558759.5998153193,67.811,7529502.8180858195
speedtest,1649405703654580000,1599193.4482200227,72.935,7615179.110061173
speedtest,1649407503484844000,3360411.897582883,94.645,5434017.624684879
speedtest,1649409303419165000,3953986.087162113,67.245,7794527.928193592
speedtest,1649411102914415000,2439687.124100009,82.575,5666829.556187235
speedtest,1649412903810897000,2683964.305183516,117.791,4617969.878660215
speedtest,1649414703051078000,10578218.530723128,82.368,7907784.77902645
speedtest,1649416503054631000,9161198.415030533,86.076,7076169.003284928
speedtest,1649418303774460000,1582081.749911192,149.653,2206723.387970772
speedtest,1649420103577590000,10734809.875462418,83.401,6192181.235214251
speedtest,1649421903121824000,8800449.523750488,102.99,5530090.911936421
speedtest,1649423703639140000,7526491.618265909,80.073,6673614.014801668
speedtest,1649425502993429000,1869515.4049999628,153.464,2909928.7483830173
speedtest,1649427303064022000,1862717.178181562,131.104,3276103.2867237693
speedtest,1649429103828393000,2036981.3464313038,168.047,2878799.5487050083
speedtest,1649430903117811000,3336465.722109447,133.129,4502775.51313748
speedtest,1649432703417845000,1934137.8135583685,127.004,3690238.419482349
speedtest,1649434503591296000,1965086.9695095972,128.232,3156180.3381578815
speedtest,1649436303368597000,18506451.544091355,41.398,19238205.64199008
speedtest,1649438103091469000,19819789.570760697,45.201,26866437.83660895
speedtest,1649439902915852000,22969023.509451594,34.025,34547310.955110684
speedtest,1649441703055703000,10308778.468016243,29.293,17978247.309295263
speedtest,1649443503073095000,19950632.924707152,24.859,12720974.78001344
speedtest,1649445303711089000,11141622.137736307,16.294,38422686.93521394
speedtest,1649447102921131000,36467998.951395854,36.221,16769924.723047657
